subj,setsize,cond,rt,acc,lm,log,exp,grp
30,1,between,0.455970217,0.958333333,0.468637012,0.458441188,exp1a,40
30,1,within,0.517629306,1,0.512226823,0.502393843,exp1a,40
30,2,between,0.476887174,0.958333333,0.476499717,0.479653364,exp1a,40
30,2,within,0.5285,0.972222222,0.52905022,0.539792058,exp1a,40
30,4,between,0.513810833,1,0.492225128,0.50086554,exp1a,40
30,4,within,0.554068,0.972222222,0.562697014,0.577190272,exp1a,40
30,8,between,0.514369583,1,0.523675951,0.522077716,exp1a,40
30,8,within,0.633767353,0.944444444,0.629990601,0.614588486,exp1a,40
30,16,between,0.516221957,0.958333333,0.586577595,0.543289891,exp1a,40
30,16,within,0.635589559,0.944444444,0.764577776,0.6519867,exp1a,40
31,1,between,0.565989583,1,0.586783119,0.575505673,exp1a,41
31,1,within,0.510467794,0.944444444,0.544821974,0.524969897,exp1a,41
31,2,between,0.593788333,1,0.592113298,0.592795966,exp1a,41
31,2,within,0.5746125,1,0.558278255,0.562874463,exp1a,41
31,4,between,0.636649792,1,0.602773657,0.610086258,exp1a,41
31,4,within,0.620809265,0.944444444,0.585190817,0.60077903,exp1a,41
31,8,between,0.609336739,0.958333333,0.624094373,0.627376551,exp1a,41
31,8,within,0.621417429,0.972222222,0.639015941,0.638683597,exp1a,41
31,16,between,0.553536522,0.958333333,0.666735807,0.644666843,exp1a,41
31,16,within,0.6003575,0.944444444,0.746666189,0.676588164,exp1a,41
32,1,between,0.316236042,1,0.35294386,0.340434867,exp1a,42
32,1,within,0.354161515,0.916666667,0.390310103,0.369008505,exp1a,42
32,2,between,0.385974583,1,0.357294647,0.356750639,exp1a,42
32,2,within,0.438598,0.972222222,0.407944293,0.415538919,exp1a,42
32,4,between,0.387215,0.958333333,0.365996223,0.373066412,exp1a,42
32,4,within,0.460492143,0.972222222,0.443212674,0.462069334,exp1a,42
32,8,between,0.370208478,0.958333333,0.383399374,0.389382185,exp1a,42
32,8,within,0.501964848,0.916666667,0.513749436,0.508599748,exp1a,42
32,16,between,0.408835417,1,0.418205675,0.405697957,exp1a,42
32,16,within,0.446719333,0.833333333,0.654822959,0.555130162,exp1a,42
34,1,between,0.642175208,1,0.66493873,0.664615479,exp1a,44
34,1,within,0.689365714,0.972222222,0.719011643,0.709915453,exp1a,44
34,2,between,0.64085625,1,0.651026446,0.639325125,exp1a,44
34,2,within,0.686266806,1,0.710855455,0.701026569,exp1a,44
34,4,between,0.678293333,1,0.623201877,0.614034771,exp1a,44
34,4,within,0.783306429,0.972222222,0.69454308,0.692137685,exp1a,44
34,8,between,0.545395,1,0.567552739,0.588744417,exp1a,44
34,8,within,0.627389559,0.944444444,0.66191833,0.6832488,exp1a,44
34,16,between,0.61205,1,0.456254464,0.563454063,exp1a,44
34,16,within,0.694703194,1,0.596668829,0.674359916,exp1a,44
35,1,between,0.376083333,1,0.382255668,0.379785112,exp1a,45
35,1,within,0.405885714,0.972222222,0.423613953,0.409729641,exp1a,45
35,2,between,0.423727273,0.916666667,0.389757634,0.395185754,exp1a,45
35,2,within,0.45484375,0.888888889,0.437638298,0.444697147,exp1a,45
35,4,between,0.364608696,0.958333333,0.404761567,0.410586397,exp1a,45
35,4,within,0.470903226,0.861111111,0.465686986,0.479664653,exp1a,45
35,8,between,0.447125,1,0.434769432,0.425987039,exp1a,45
35,8,within,0.517090909,0.916666667,0.521784362,0.514632159,exp1a,45
35,16,between,0.433125,1,0.494785162,0.441387681,exp1a,45
35,16,within,0.524742857,0.972222222,0.633979115,0.549599665,exp1a,45
36,1,between,0.490750625,1,0.512608553,0.504679646,exp1a,46
36,1,within,0.52753875,1,0.552644219,0.537793181,exp1a,46
36,2,between,0.539372917,1,0.517016598,0.518047,exp1a,46
36,2,within,0.578355417,1,0.563577356,0.567737958,exp1a,46
36,4,between,0.530549583,1,0.525832688,0.531414354,exp1a,46
36,4,within,0.607211111,1,0.585443632,0.597682736,exp1a,46
36,8,between,0.538249583,1,0.54346487,0.544781708,exp1a,46
36,8,within,0.617736111,1,0.629176182,0.627627514,exp1a,46
36,16,between,0.553688333,1,0.578729232,0.558149063,exp1a,46
36,16,within,0.605559714,0.972222222,0.716641284,0.657572292,exp1a,46
37,1,between,0.5164375,0.916666667,0.513933133,0.512569395,exp1a,47
37,1,within,0.480710938,0.888888889,0.512942158,0.491190928,exp1a,47
37,2,between,0.536778043,0.958333333,0.520673853,0.52583654,exp1a,47
37,2,within,0.559815286,0.972222222,0.532583913,0.541701632,exp1a,47
37,4,between,0.505616364,0.916666667,0.534155292,0.539103684,exp1a,47
37,4,within,0.587425,1,0.571867423,0.592212337,exp1a,47
37,8,between,0.571048542,1,0.561118171,0.552370829,exp1a,47
37,8,within,0.639876714,0.972222222,0.650434443,0.642723041,exp1a,47
